"","CORT_1","CORT_2","CORT_3","CORT_4","MED_1","MED_2","MED_3","MED_4"
"ENSMUSG00000000001.4",5879,5033,6006,4917,7376,4421,3236,4676
"ENSMUSG00000000003.15",0,0,0,0,0,0,0,0
"ENSMUSG00000000028.15",1390.39032064451,1171.97971037563,1378.4986982172,1190.14238322168,2281.94403440587,1290.71656049865,1041.53493078308,1406.50453215043
"ENSMUSG00000000037.16",31.2869929476215,19,29,17,43,28,20,25
"ENSMUSG00000000049.11",0,0,0,1,0,1,0,0
"ENSMUSG00000000056.7",792,677,799,664,1417,817,587,851
"ENSMUSG00000000058.6",7766,6471,8120,6476,13318,7785,5837,8384
"ENSMUSG00000000078.7",4003,3355,4301,3294,4224,2329,1797,2631
"ENSMUSG00000000085.16",1195.1226604626,981.201808651215,1182.14405985595,926.198951468385,2107.89045620681,1286.3452792867,914.396443968645,1328.40296507697
"ENSMUSG00000000088.7",3258,2810,3336,2852,4038,2441,1780,2658
"ENSMUSG00000000093.6",449,400,466,443,520,308,174,316
"ENSMUSG00000000094.12",0,0,0,1,0,0,1,1
"ENSMUSG00000000103.12",0,0,0,0,0,0,0,0
"ENSMUSG00000000120.6",0,1.009418978853,2.02471227490155,0,5.06986716427957,3.03333493965478,0,2.01896498324366
"ENSMUSG00000000125.5",0,0,0,0,2,1,1,0
"ENSMUSG00000000126.11",67,39,67,37,74,67,56,56
"ENSMUSG00000000127.15",1237,1115,1323,1096,1843,1081,816,1187
"ENSMUSG00000000131.15",3089.97582414106,2623.66276698923,3148.96040498965,2574.78985667267,4825.83393015565,2715.02038281035,2048.9266533092,2899.23902773635
"ENSMUSG00000000134.17",1670,1405,1718.89979301085,1460,2459.67755382752,1473,1018,1498
"ENSMUSG00000000142.15",6,3,7,4,2,0,2,2
"ENSMUSG00000000148.17",1009,821,1061,860,1314,790,554,812
"ENSMUSG00000000149.10",8217.03058141176,7073.60471534273,8086.61115907888,6849.23961128781,11779.3655668335,7006.84173639849,5267.69481177002,7373.70291295362
"ENSMUSG00000000154.16",87,66,95,76,66,40,20,35
"ENSMUSG00000000157.16",0,0,0,0,0,0,0,0
"ENSMUSG00000000159.16",0,0,0,0,0,0,0,0
"ENSMUSG00000000167.14",17.3226178890445,15.3132520615279,22.1631292719212,31.5458366875829,46.2461916505867,15.0225372937325,16.0897043425504,28.1139717358226
"ENSMUSG00000000168.9",2393,2302,2734,2337,3632,2239,1685,2313
"ENSMUSG00000000171.5",2257,2095,2559,2107,3457,2027,1483,2278
"ENSMUSG00000000182.9",0,0,0,0,0,0,0,0
"ENSMUSG00000000183.6",2.04037838916553,0,6.0770929217495,0,3.13996963964043,2.09642508000074,2.00435701226073,0
"ENSMUSG00000000184.12",5110,4310,5220,4225,8973,5401,3561,5599.93824473767
"ENSMUSG00000000194.13",3104.12664723482,2646.27155478372,3155.23332906566,2676.1686984471,4177.39456064716,2434.1083121993,1702.11000200945,2505.6143487536
"ENSMUSG00000000197.8",5.00251340661273,4.21739704903611,1.74457715062791,4.01319608694501,8.18605773641014,5.51769734481477,1.29170957145963,5.50419061114732
"ENSMUSG00000000202.9",0,0,0,0,0,0,0,0
"ENSMUSG00000000204.16",37.6659111112074,18.2063834802159,50.9356191318991,33.9889600776294,56.5461306251745,21.7575095024928,27.8640334744349,26.7164340332546
"ENSMUSG00000000214.11",9,10,6,12,6,2,2,3
"ENSMUSG00000000215.11",0,0,0,0,0,0,0,0
"ENSMUSG00000000216.8",0,0,0,0,0,0,0,0
"ENSMUSG00000000223.13",46.3140629975344,33.9412471906354,38.7799777229317,46.0261203925849,90.039195344465,39.0207679715474,21.0895068492391,46.0204061094767
"ENSMUSG00000000244.17",13.4219746915251,11.0283633922623,17.4455594955234,4,30.8197719473907,5.33912661830326,11.1216694832829,14.1256593591247
"ENSMUSG00000000247.11",110.01833713487,97,112,122,257,125,89,136
"ENSMUSG00000000248.16",0,0,1.00700997480108,0,2.04711446223851,0,0,0
"ENSMUSG00000000253.13",406.093493538099,341,407.107039661639,358,543,362,256.380153094591,378.093292125909
"ENSMUSG00000000263.15",3,2,6,4,5,7,1,5
"ENSMUSG00000000266.11",1408.01707076014,1219.18442822451,1565.18860386612,1211.52883074395,1272.58277223081,739.269267915103,541.556105114493,773.190046985677
"ENSMUSG00000000275.16",5113.50739458542,4313.54845336165,6048.90366579218,4933.00022060945,8605.73393348111,4876.90092722343,3474.39655096407,5174.86098140025
"ENSMUSG00000000276.11",1133.65564066365,1002.28801269038,1368.43192705516,1166.04429044045,2288.01390439732,1334.82266977198,941.99125597031,1382.68265188966
"ENSMUSG00000000278.10",5004,4182,5718,4758,8816,5115,3720,5475
"ENSMUSG00000000282.12",665,556,766,584,1147,683,487,647
"ENSMUSG00000000290.13",63,46,36,42,12,6,2,5
"ENSMUSG00000000295.13",796,684,762,621,1060,635,522,679
"ENSMUSG00000000296.8",84,64,72,58,98,60,40,50
"ENSMUSG00000000301.16",130,78,99.7350893889635,91.5809583632829,150.177359067356,92,51.1333935833676,83
"ENSMUSG00000000303.12",0,0,1,1,0,0,0,1.03522241906402
"ENSMUSG00000000305.12",3.94790945360829,0,0.949439256536558,0,1,0,0.975668161816686,0
"ENSMUSG00000000308.14",0,0,2,2,2,1,0,1
"ENSMUSG00000000317.11",17700,14550,18030,14977,24084,14082,9704,14627
"ENSMUSG00000000318.16",1,0,0,2,3.12141888802731,0,0,0
"ENSMUSG00000000320.10",104.818021033013,102.450569606519,124.477815473804,120.823340171417,236.310756817975,156.952619342696,102.857666893949,117.230972307181
"ENSMUSG00000000325.16",65.5404628354075,61.1401702098783,68.146441110412,55.1317165111774,115.359597853645,63.3072348413503,35.1331739220904,75.1469211521056
"ENSMUSG00000000326.13",1774.67192316556,1276.64580921691,1541.78672320419,1199.02067828189,1798.08530478564,1036.37479387883,809.574639238761,1069.18644900587
"ENSMUSG00000000339.14",1440,1206,1408,1272,1870,1148,786,1210
"ENSMUSG00000000340.10",901.416989636726,829.312039322968,975.819896813606,841.73207010647,1206.53250278072,688.187083524826,516.629570754808,736.048522957038
"ENSMUSG00000000346.9",4922.72464743801,4158.49040780601,4947.84618033341,3960.01447512837,7048.58048371078,4257.74014984857,2951.59447868791,4372.27359855496
"ENSMUSG00000000355.13",679,592,748,676,1097,631,458,635
"ENSMUSG00000000359.3",0,0,0,0,0,0,0,0
"ENSMUSG00000000365.9",0,0,0,0,1,0,0,1
"ENSMUSG00000000374.8",1953,1667,1941,1646,2461,1449,1097,1519
"ENSMUSG00000000378.15",2287,2047,2550,2225,3483,2008,1555,2222
"ENSMUSG00000000381.10",0,0,0,1,1,0,0,0
"ENSMUSG00000000384.15",2076.59448127537,1753.8865036984,2351.80943194614,1894.55320178151,3077.0493873499,1747.8710774394,1353.50073341623,1935.06789649611
"ENSMUSG00000000385.8",0,1,0,0,2,0,0,2
"ENSMUSG00000000386.15",7.34188198033267,5.76590530558916,9.06871377426837,10.1384682898518,32.6387006866309,8,6.09720825376366,8
"ENSMUSG00000000392.17",1.0466421969556,1,1.01272924673004,2,3.05206589212732,1.01059434662782,1.01858949128459,2.02911077369885
"ENSMUSG00000000394.15",0,0,0,0,0,0,0,0
"ENSMUSG00000000399.10",3394,2848.77611704606,3350.11787657827,3054.06280198492,4695.7938597657,2876.03446246431,2001.25448422292,3017.58208884752
"ENSMUSG00000000402.2",0,0,0,2.19554982577477,3.28366939019244,0,2.00123144750512,2.00037171206474
"ENSMUSG00000000409.14",71,58,75,72,107,83,39,53
"ENSMUSG00000000411.7",1,1,0,0,2,1,1,1
"ENSMUSG00000000416.16",15,9,13,15,11,8,5,10
"ENSMUSG00000000420.15",13675.2913224907,11546.8206596804,13913.569615459,11645.8604910377,18723.4506351997,11708.1172451404,8760.20759695602,11891.6238482001
"ENSMUSG00000000435.1",0,0,0,0,0,1,0,0
"ENSMUSG00000000439.9",1220.40383067159,935.569920718236,1272.25975854485,929.16623168681,1717.11312235943,996.944695454851,709.57944236721,1036.28814280526
"ENSMUSG00000000440.12",784,698,770,743,1404,795,557,900
"ENSMUSG00000000441.17",2853.73187876837,2379.52822831698,2901.74390348476,2328.88709758624,4466.99201873022,2602.14943100993,1766.42055763279,2797.76842541825
"ENSMUSG00000000486.13",47,52.7944245244977,58.3422204929448,38,88.4668906195454,37,23,44
"ENSMUSG00000000489.7",3175,2703,3577,3061,5239,2997,2052,3221
"ENSMUSG00000000530.16",16147,12996,18240,14425,26598,15236,10483,15608
"ENSMUSG00000000531.5",3747.66058684214,3292.16627299151,4342.30439760834,3565.19862603104,5195.9012946482,2940.23570599354,2166.14404986217,3118.46195331296
"ENSMUSG00000000532.11",614.413858368723,479,723,468.6953848375,950.788289482345,573,424,581.813540989588
"ENSMUSG00000000538.18",4776,4005,5114,4307,7598,4430,3093,4645
"ENSMUSG00000000544.14",1,2,3,1,1,0,1,0
"ENSMUSG00000000552.10",738,601,672,603,1284,778,536,733
"ENSMUSG00000000555.8",20056.8053208136,17137.6739653595,20325.0961130536,16709.9150170612,26928.6413840549,15486.0283953405,10985.7281489842,16404.3603097545
"ENSMUSG00000000560.9",13.3457370512257,8.43422414112843,5.00101910581669,6.35947791257971,11.4578878534975,6.15954540492471,4.60277179543909,5.16427855946331
"ENSMUSG00000000561.14",3456.01324369177,2662.73921601445,3462.86858568104,2940.89317459046,4321.82836511095,2650.65335124277,1903.85254139183,2870.27622186722
"ENSMUSG00000000562.5",6.30175863871481,3.41235038659435,9.23467027016168,7.79485265443034,15.5928863274812,13.118602837546,3.18984499468895,15.7331691444932
"ENSMUSG00000000563.17",6598.60621596856,5824.28280551718,6480.79194636818,5601.23080443513,8565.94640450065,5086.88801461501,3719.47904997492,5642.42404878875
"ENSMUSG00000000567.5",1.35033523896521,2.49756068984808,3.31538082853765,0,2.15702420550306,2,1.2271884359522,4.47680510609823
"ENSMUSG00000000568.15",6690.3245988427,5611.87762127654,7179.44211598028,6255.48507649189,11978.6203218921,6784.63606969871,4825.60337241916,7227.55406896671
"ENSMUSG00000000579.14",160.012917477174,289.683031685911,429.885527155645,310.59999756988,463.301014574898,182.106753403737,142.42855501135,248.442620944078
"ENSMUSG00000000581.8",1903,1729,1837,1565,2441,1424,1056,1623
"ENSMUSG00000000594.7",469,433,541,411,833,478,349,517
"ENSMUSG00000000600.15",2637.00928972262,2115.64431235406,2680.7377555907,2301.0369442751,3764.30767798637,2076.69158009608,1465.62385424797,2203.16903442706
"ENSMUSG00000000605.9",1381,1240.87651619521,1537.66400209241,1272.3262942586,2250.44360927484,1309.05140686875,960.953588739684,1380.17456091054
"ENSMUSG00000000606.18",2.19698037743683,4.32494414451145,1.26450588924336,6.5610458062848,3.76256699312624,6.83062888085172,4.88696677297826,2.74619929509342
"ENSMUSG00000000617.14",0,1,0,0,1,0,0,1
"ENSMUSG00000000627.15",1.00226151463816,4.00403045677494,0,2.00840128201533,3.00307112045032,0,2.00081017235422,1.00225657517575
"ENSMUSG00000000628.10",127,108.002225776662,128.001980185583,96.0026540162354,180,125,75.002625616101,138
"ENSMUSG00000000631.20",6619.82937692408,5835.42097872445,6801.65797145833,5757.81043982827,10739.0838580503,6450.87406003355,4604.93516586195,6590.49695376967
"ENSMUSG00000000632.13",23.0263416680917,12.0265311209886,20.0248832419087,14.0289089759846,13.0667732706027,9.01908799381765,6.01221813574547,8.01980185168121
"ENSMUSG00000000673.9",2.01919652889532,5.19834383088863,8.25130237719893,3.09430680763362,10.4139894692746,3,3.03296723026417,4.1651746329067
"ENSMUSG00000000682.7",0,0,0,0,0,0,0,0
"ENSMUSG00000000686.11",21,27.1548497822106,36,23,36,21,25,25
"ENSMUSG00000000690.5",763.276748573254,619.16922266,843.084764712814,803.272860172899,2056.3247102096,1081.86286483325,830.966215752654,1157.76420198321
"ENSMUSG00000000693.10",167.115043952211,120.230800258125,149.237375385528,134.160081500204,136.518895883057,72.2718357734089,56.0307768214991,90.2974273607629
"ENSMUSG00000000701.8",0,0,0,0,0,0,0,0
"ENSMUSG00000000706.16",0,3.00070056649508,2,2.00028224463725,3.01341818917689,2.0002898866326,0,0
"ENSMUSG00000000708.14",817,701,882,689.735592462546,1292,685,528,775
"ENSMUSG00000000711.3",3415.25577909314,2938,3514,3019.68364980228,5217,2931,2021,3153
"ENSMUSG00000000724.10",1.50164269462484,2.76049061623541,0,2.0367251067443,6.81655090731449,2.20171876308102,1.00836714922548,3.52014364206507
"ENSMUSG00000000730.13",0,0,0,0,0,0,0,0
"ENSMUSG00000000731.15",2.00609414868042,3.00195288536111,0,2.00795545042305,2.0689930635831,2.85234007977103,0,1.00254386414236
"ENSMUSG00000000732.9",13,9,11,13.1041959520895,14.0071966576565,7,4,8
"ENSMUSG00000000738.18",2207.20457070726,2040.52932204915,2314.06271553599,2030.98384516999,3297.8695695226,1919.68741468428,1422.62281358078,1995.17928583956
"ENSMUSG00000000739.14",42.5522244166313,37.0892388481847,71.0523907244918,60.157887158395,82.7223131711848,39.3417098493999,28.5079189033439,38.5580044544609
"ENSMUSG00000000740.12",13111.2978447449,23809.8253650046,26885.6360313463,22732.7805298822,36350.8201275562,21975.8532815498,17006.7002375429,23248.4447889942
"ENSMUSG00000000743.9",2455,2265,2628,2189,3726,2088,1583,2282
"ENSMUSG00000000751.13",7408.1059433431,6892.03792243711,7989.13178246483,6636.28308170958,12338.4305504271,7264,5317.70838278436,7714.43553256932
"ENSMUSG00000000753.15",281,180,314,206,288,144,82,170
"ENSMUSG00000000759.14",1930.09138288005,1583.97213668598,1976.85012401938,1614.98424791186,3151.55240210986,1802.80160427836,1303,1820.26615112064
"ENSMUSG00000000766.18",1,0,1,0,0,0,0,1
"ENSMUSG00000000776.13",595,473,680,595,976,594,408,616
"ENSMUSG00000000782.15",42.1653885630899,21.1785334076997,32.1195923892946,25.962132605724,58.1173005506712,50.0697408058754,27.8935847481112,45.9691852313784
"ENSMUSG00000000787.12",21527.8309824811,18362.4819049082,21988.6479370158,18536.7680818599,35358.4128353589,20300.4702755486,14749.799167601,21328.9052723765
"ENSMUSG00000000791.9",3,0.5,6.48540152147808,2,4.5,4.05806141390726,1,2
"ENSMUSG00000000792.2",20,9,20,11,27,11,11,16
"ENSMUSG00000000794.9",23,9,14,15,42,23,7,19
"ENSMUSG00000000804.14",2649,2207,2507,2116,4381,2502,1831,2703
"ENSMUSG00000000805.18",0,2,5,0,1,0,0,1
"ENSMUSG00000000811.13",208,190,265,191,236,138,116,151
"ENSMUSG00000000817.10",0,1,3,0,1,1,3,1
"ENSMUSG00000000823.16",2065.52582857097,1836.63406296232,2080.80972009724,1837.31680629579,3579.29001704909,1894.87073325475,1361.64812128922,2033.94599655887
"ENSMUSG00000000826.16",5258,4539,5419,4422,7606,4609,3141,4778
"ENSMUSG00000000827.18",3039,2821,3124,2719,4435,2733,1914,2720
"ENSMUSG00000000838.17",2991.84537008854,2456.23823117767,3147.059740068,2524.79066780207,5976.58022126154,3330.17149247975,2560.84754543585,3597.21348704651
"ENSMUSG00000000861.15",0,1.0006023963456,1.61167871330652,0,1.03145270994302,0,0,1.00094646408586
"ENSMUSG00000000869.12",22,9,38,34,45,30,20,22
"ENSMUSG00000000876.11",667.392701492854,597.252635451271,728.963549683607,610.505594691647,889.806324740313,552.430894033527,368.618016205862,567.641606890565
"ENSMUSG00000000881.12",3,6,6,5,15,6,13,8
"ENSMUSG00000000884.17",238.444963261778,217.699822940441,246.562448902212,184.093194385179,363.071469859701,237.977488624855,193.443378237641,225.141683359421
"ENSMUSG00000000889.8",0,0,0,0,0,0,0,0
"ENSMUSG00000000901.17",266,234,344,232,518,319,251,305
"ENSMUSG00000000902.13",2743.82439371409,2461.24753338889,2931.16962141185,2382.83323092461,3999.82604889261,2341.76917725805,1696.57786373015,2489.35796826361
"ENSMUSG00000000903.3",1,0,0,0,0,0,0,0
"ENSMUSG00000000915.15",5892.16433083204,4979.38671530788,6161.4822908412,5031.36844762313,4920.77412025045,2914.44781435877,2061.13827957787,3053.55617637004
"ENSMUSG00000000916.15",800.858476790132,661.699240335645,871.363475471308,661.453307351605,1127.11482370779,619.98732303111,450.412528916225,663.994319482147
"ENSMUSG00000000934.9",609,568,607,568,828,526,378,481
"ENSMUSG00000000938.11",0,0,0,0,0,0,0,0
"ENSMUSG00000000942.10",1,0,1,0,2,1,0,0
"ENSMUSG00000000948.16",138.046592397894,91.0442525566937,145.638373694085,135.203271406394,190.514833777184,119.5106362297,80.5755978672617,107.551554529073
"ENSMUSG00000000957.11",2124.0479350461,1864.04741472711,2305.69182581465,2067.03148560183,2742.78669027284,1648.0286850136,1132.32176080779,1680.23979459812
"ENSMUSG00000000958.10",987.696393538834,879.366363027496,1246.32765765647,1003.81665192654,1272.12096956626,776.469969689444,546.681430962336,769.269042995118
"ENSMUSG00000000959.7",1993.30360646117,1732.6336369725,2237.67234234353,1882.18334807346,3548.87903043374,1979.53003031056,1450.31856903766,2115.73095700488
"ENSMUSG00000000976.13",1327.76503811875,1119.07906106184,1380.94893501235,1155.87788836488,2152.75002715792,1102.00592532695,823.749610013882,1250.44341867844
"ENSMUSG00000000982.5",0,0,0,0,1,0,0,0
"ENSMUSG00000000983.13",2,3,3,1,0,0,0,0
"ENSMUSG00000001014.6",13,19,31,3,25,19,7,9
"ENSMUSG00000001016.12",2172.98155441605,1850.53132998514,2196.36753573413,1841.87949776347,3465.19186384719,1962.23213716684,1487.96296065439,2143.02243426402
"ENSMUSG00000001017.15",4099,3466.52665200878,4141.9062182094,3608,6289,3607.89838009858,2617,4023
"ENSMUSG00000001018.15",1236.86494116685,1084.55592763301,1282.05440122785,1073.42432902921,1854.2778183946,1038.05259224602,732.269264627946,1104.60082501098
"ENSMUSG00000001020.8",8213,7105,8165.55387663154,6688.72261831777,10783.5347158083,6537,5158.51226427549,7386.51845241354
"ENSMUSG00000001021.12",10.0097709189837,10.3710249480298,12.347664021468,12.202212219074,29.8874417250981,15,17,16
"ENSMUSG00000001023.10",1,0,0,0,0,0,0,0
"ENSMUSG00000001025.8",15236,13176,15367,12654,19505,11571,9368,13099
"ENSMUSG00000001027.7",6,2,6,2,11,2,1,4
"ENSMUSG00000001029.15",7718,6407,7870,6470,10591,6221,4646,6722
"ENSMUSG00000001034.17",1712,1469,1799,1500,2565.98615228238,1543,1081,1565
"ENSMUSG00000001036.17",3617,2959,3692,3033,4513,2540,1811,2653
"ENSMUSG00000001039.12",313,273,373,319,546,318,225,332
"ENSMUSG00000001052.15",2508.09195883,2121.7181158928,2568.06032545524,2219.18697979422,3939.45960567472,2196,1625.26000133416,2407.05797720664
"ENSMUSG00000001053.15",3590,3032,3552,3294,5141,3210,2490,3281
"ENSMUSG00000001054.9",1863.48272569208,1558,1883.01398487041,1606,2279,1391,1099,1405
"ENSMUSG00000001056.3",4039.51727430792,3587,3936.98601512959,3713,4476.99896723495,2748,2225,2880
"ENSMUSG00000001062.18",661.666922294653,570.692248683657,659.401629553854,562.892058503286,1044.75747587586,552.516458350343,339.206522981313,557.588086199765
"ENSMUSG00000001065.15",588.010534151134,442.865256406108,598.466892261815,521.132564157538,858.313159405274,504.922080464402,342.379993891078,529.977527892565
"ENSMUSG00000001076.7",14,17,12,16,7,8,2,6
"ENSMUSG00000001082.12",1936,1581,1879,1538,3025,1563,1203,1723
"ENSMUSG00000001089.14",3803,3260,3862,3272,5039,2955,2106,2998
"ENSMUSG00000001095.5",0,0,0,0,0,0,0,0
"ENSMUSG00000001098.15",14597.0861426098,12708.0170870224,15652.5924158454,12662.33675947,19870.75035045,11844.7300214991,8314.21231460691,12314.8155369669
"ENSMUSG00000001100.10",2324.35887745792,2127.72027048543,2392.5498112683,2015.35362336533,3419.27677111405,2087.27479576989,1455.59162017608,2174.71894108443
"ENSMUSG00000001103.7",0,0,0,0,0,1,0,0
"ENSMUSG00000001105.15",797.070231978573,697.004641940677,792.96743211534,658,961.981245705813,624,451,679
"ENSMUSG00000001119.7",14,12,14,11,36,22,8,16
"ENSMUSG00000001120.15",1800,1579,1991,1645,1739,1033,735,1138
"ENSMUSG00000001123.15",7723,6957,7827,6416,8888,5321,3538,5454
"ENSMUSG00000001127.12",2610.59868620972,2178.75753422076,2741.5906296696,2373.53586535091,4117.69228688697,2204.5950189046,1520.98302040937,2373.44172937513
"ENSMUSG00000001128.7",81,64,95,80,184,82,62,74
"ENSMUSG00000001131.11",801,655,861,645,1508,881,665,1040
"ENSMUSG00000001134.9",310,278.814771105808,311.995835765734,280,446,283,233,286
"ENSMUSG00000001138.13",891.71612221452,790.193531666885,934.001046008434,795.560515719243,1319.71693662522,748.088364435641,542.507931148837,763.276657996072
"ENSMUSG00000001143.13",573.454133159768,504.232808370502,574.553281602332,540.457896966316,1120.18760119993,596.907405254107,442.79156841188,605.667886286795
"ENSMUSG00000001150.7",3807.93906921962,3266.26635099981,3716.72347840732,3316.84487948687,5554.73795945181,3332.9289728978,2456.92262643134,3429.92415942238
"ENSMUSG00000001151.10",3140,2744,3205,2738,5885.8699629443,3344,2499,3586
"ENSMUSG00000001155.13",0,0,1.23109966158428,0,1.18220678822108,0,0,0
"ENSMUSG00000001156.9",372,309,379,318,499,287,178,320
"ENSMUSG00000001157.13",1028.60209986405,845.706810816905,1094.85595104235,890.287815236485,1402.45819807561,878.29185004805,678.388056459221,895.10071330534
"ENSMUSG00000001158.13",828,737,786,710,1161,590,504,712
"ENSMUSG00000001166.17",118.810677906115,100,115,94,178,110,82,100
"ENSMUSG00000001168.16",0,0,0,0,0,1,0,0
"ENSMUSG00000001173.15",1990.93173704696,1697.45926943306,2085.94014758416,1674.16253953247,3208.83358387101,1801.89825688639,1297.84345672257,1799.83050962021
"ENSMUSG00000001175.14",20539.938881682,32730.8598866497,39975.571756217,33427.1635544273,48254.5764267112,28294.5682748948,22259.5117658312,30886.0868751593
"ENSMUSG00000001211.15",5770,5107,6086,4920,8256,4875,3520,5076
"ENSMUSG00000001225.12",9.02714199689403,3.73388733562716,4.40004889441396,6,6.44074658397166,5.43750778018123,0,2.60789597353214
"ENSMUSG00000001227.12",4344,3733,4519,3925,4849,2765,1971,2823
"ENSMUSG00000001228.14",4264.67814047878,3587.56927719612,4277.93343263823,3576.99015211731,7209.65160494872,4158.95687026107,2984.98283444555,4581.64048983594
"ENSMUSG00000001229.9",2447,2111,2625,2209,3546,2053,1467,2191
"ENSMUSG00000001240.13",10847.0426507853,9657.18104000472,11255.597576061,9403.993656309,12237.8962213379,7277.94589814248,4872.32597198593,7342.18898291574
"ENSMUSG00000001247.16",39,25,48,26,43,26,21,37
"ENSMUSG00000001248.15",3842,3470,4367,3839,7470,3925,2815,4294
"ENSMUSG00000001249.14",35,29,35,24,105,71,47,73
"ENSMUSG00000001260.10",0,0,0,0,2,0,0,0
"ENSMUSG00000001270.9",1222,1074,1306,1123.85667323413,1137,734.995195267763,493,707
"ENSMUSG00000001280.13",3171.59596086463,2751.91110458252,3588.97994224323,2679,5017.98548583935,3007.97898431913,2140.9961596437,3121.98194309495
"ENSMUSG00000001281.10",8,8,12,9,12,7,2,5
"ENSMUSG00000001285.12",905.462397668575,710.011298887053,1005.22443334763,889.168498172452,1610.5199309452,954.333010987957,654.932980679341,966.270176102032
"ENSMUSG00000001288.15",2312,1909,2372,1855,2652,1501,1103,1515
"ENSMUSG00000001289.12",2394.01969999878,2221.98870111295,2377.10445226607,2053.4921018383,3283.13600713256,1967.66698901204,1506.65063275735,2133.05103663861
"ENSMUSG00000001300.16",7087,6088,7562,6000,9406,5258,3336,5648
"ENSMUSG00000001305.5",1191.23504158128,1016.03171278292,1209.97441673925,1130.56235996127,1626.80372896394,939.758726001719,754.040197962512,1116.87507451863
"ENSMUSG00000001313.12",269.288260837938,172.454030034272,224.903044046054,239.052389768935,354.421122889328,257.972422879306,174.668593151622,221.871883758569
"ENSMUSG00000001323.17",796.155719088033,676.651539376098,976.642353277807,715.693137482434,1143.15199366632,628.344084918871,468.070695735187,671.436290689728
"ENSMUSG00000001333.9",14.1315671523121,11.0203812158662,17.0850636574771,22.1243202123587,25.111355966331,13.0562927441595,7.03541375156418,12.0752795998077
"ENSMUSG00000001334.9",76.8969085297386,44.6520412874924,80.3100213907693,55.8431839402199,32.0092446035714,18.5915315230521,21.6786604414909,28.8896826535115
"ENSMUSG00000001348.15",1,1,0,0,2,1,0,1
"ENSMUSG00000001349.5",5,3,4,2,15,2,3,5
"ENSMUSG00000001366.14",838,790,945,756,1309,747,588,833
"ENSMUSG00000001376.17",1445.14581396879,1290.89741399662,1565.0368353525,1318.12813579788,2153.21468444394,1326.01534877775,959.873344798189,1376.14775256272
"ENSMUSG00000001380.7",2673.02574455412,2343.50007558298,2666.70041508022,2478.82802785163,3734.14739652466,2259.32979859491,1675.95777101552,2291.56208627528
"ENSMUSG00000001383.9",1541.01227173275,1343,1461.55803371926,1348,2391.75832504829,1282,930.421490247544,1298
"ENSMUSG00000001403.13",3146.50453635172,2730.67902693929,3232.01516517422,2713.59530013833,5344.12166765608,3083.09628761015,2403.77872798733,3366.3031436238
"ENSMUSG00000001415.10",3148.80169088858,2600.38823701117,3097.22740662942,2683.72294905091,5095.28336627305,2873.89468058201,2158.84576737047,3042.38771629349
"ENSMUSG00000001416.13",11261.2929170025,9857.04767308545,11248.6058496934,9653.53395044084,15363.4241382303,9259.89996582247,6775.51619289086,9718.01519688829
"ENSMUSG00000001418.13",3040.87120841572,2584.60594577012,3095.31197676168,2476.39937164405,4442.9730693437,2553.23418027526,1872.34630426903,2695.47272188425
"ENSMUSG00000001419.17",2753,2191,2859,2406,4145,2391,1650,2437
"ENSMUSG00000001420.13",24.7059312649278,34.520771710558,34.8404469336241,60.2564574850548,57.4839958760639,25.0015169443928,26.9628320835451,34.2688331630008
"ENSMUSG00000001424.14",8257.56172013366,7143.51393183789,8061.20279449054,6869.87828816568,10973.6597900783,6855.24218201857,4684.80155146613,6892.03528993737
"ENSMUSG00000001435.15",49545.0163177948,44413.0144833846,51913.0084300834,42980.0050393742,89895.0220896027,54617.0129357516,38323.0044967547,55436.0050195316
"ENSMUSG00000001436.15",1061,833,1087,873,1372,742,550,823
"ENSMUSG00000001440.5",29252,24243,29091,24707,42753,25485,18427,26976
"ENSMUSG00000001441.13",4061.03383243747,3511.30837824266,4171.91035034313,3593.26857750029,6784.10717587877,3975.83124333296,2897.64086725809,4058.33128108836
"ENSMUSG00000001444.2",0,0,0,0,1,0,0,0
"ENSMUSG00000001445.10",2501.51314421007,2153.78225938322,2562.9320778203,2169.62785650458,3374.14345534309,2057.02723949556,1494.70649219754,2175.6928758579
"ENSMUSG00000001467.5",417.402173831638,368.631557774944,440.625791762587,388.462176590794,651.270849182696,360.059346467066,315.769333996537,387.993533138963
"ENSMUSG00000001472.17",5640,4667,5820,4937,8500,4660,3365,5041
"ENSMUSG00000001473.7",9630.08441395985,8298.59379188827,9943.27625248371,8798.38965071322,13852.8459455007,8400.08808714139,6292.90914780131,9189.94346040241
"ENSMUSG00000001482.15",1546.43320106509,1318.05647262692,1589.9179135751,1378.17343407866,2291.64194370471,1404.43722407529,998.24053709264,1451.38513507353
"ENSMUSG00000001493.9",62,42,68,52,69,35,28,37
"ENSMUSG00000001494.6",1,3,0,3,6,3,1,1
"ENSMUSG00000001496.15",0,0,0,0,4.84254528149734,0,0,0
"ENSMUSG00000001497.18",0,3.17372603600782,1,0,3.22591010073099,0,0,2.18419619482332
"ENSMUSG00000001504.10",0,0,0,0,0,0,0,0
"ENSMUSG00000001506.10",36,41,26,24,120.566616995355,54,41,72
"ENSMUSG00000001507.16",40730,33233,39954,34138,26972,15994,12083,16949
"ENSMUSG00000001508.15",3,3,1,4,2,2,4,4
"ENSMUSG00000001510.8",0,0,2,0,1,0,0,0
